RID,source_nodeip,destination_nodeip,start_time,source_port,destination_port,flags,site,asn,num_packets,num_bytes,flow_trajectories_ip,proto,Label
10.42.0.151-104.97.95.172-51879-80-6,61.131.218.218,202.91.8.226,1415754317,22,38662,"-A----,-AP---",45c48,c4ca4,6,504,121.127.26.102,TCP,1
10.42.0.1-10.42.0.42-53-20421-17,80.86.82.58,202.91.8.226,1415700488,50107,22,"-A----,-AP---",45c48,c4ca4,12,1008,199.188.110.170,UDP,1
183.79.250.251-10.42.0.211-443-54399-6,175.180.184.106,69.28.58.85,1415667916,45099,22,"-A----,-AP---",45c48,c4ca4,12,1008,194.51.113.113,TCP,0
10.42.0.42-58.63.236.212-50450-443-6,50.45.128.28,66.96.207.21,1415754931,22,62901,"-A----,-AP---",45c48,c4ca4,6,504,194.51.113.113,UDP,1
10.42.0.211-64.71.142.110-41775-443-6,213.215.43.23,118.244.132.61,1415322516,33016,22,"-A----,-AP---",45c48,c4ca4,12,1008,221.131.129.230,TCP,0
174.35.73.78-10.42.0.211-80-57996-6,198.20.69.98,37.9.53.44,1415582789,45092,22,"-A----,-AP---",45c48,c4ca4,12,1008,183.61.185.91,TCP,0
192.229.173.173-10.42.0.211-80-44243-6,222.89.164.247,117.34.195.83,1415753400,22,59307,"-A----,-AP---",45c48,c4ca4,6,504,222.186.45.157,TCP,1
10.42.0.151-10.42.0.1-25831-53-17,222.214.218.109,117.34.195.83,1415755293,22,45596,"-A----,-AP---",45c48,c4ca4,6,504,111.123.226.30,TCP,1
172.217.11.10-10.42.0.211-443-40395-6,219.148.38.70,178.248.41.212,1415150723,59296,22,"-A----,-AP---",45c48,c4ca4,12,1008,218.202.173.195,TCP,0
10.42.0.151-63.250.200.101-47154-443-6,60.19.24.16,178.248.41.212,1415754001,22,36745,"-A----,-AP---",45c48,c4ca4,6,504,60.173.14.74,TCP,1
173.222.142.156-10.42.0.211-80-35971-6,216.244.79.162,118.96.8.138,1415754201,22,45578,"-A----,-AP---",45c48,c4ca4,6,504,183.61.185.94,TCP,0
8.0.6.4-8.6.0.1-0-0-0,117.40.188.58,118.96.8.138,1415703984,38662,22,"-A----,-AP---",45c48,c4ca4,12,1008,183.61.185.94,TCP,1
10.42.0.211-10.42.0.1-10627-53-17,218.237.65.47,123.147.162.185,1415754221,22,36475,"-A----,-AP---",45c48,c4ca4,6,504,183.61.185.94,TCP,0
10.42.0.42-119.146.74.34-52573-80-6,218.237.65.47,123.147.162.185,1415692610,36475,22,"----S-,-A----,-AP---",45c48,c4ca4,12,1008,183.61.185.94,TCP,1
216.58.219.202-10.42.0.151-443-45271-6,218.237.65.47,188.241.56.4,1415754491,22,51461,"-A----,-AP---",45c48,c4ca4,6,504,125.124.146.59,TCP,0
192.229.173.173-10.42.0.151-80-46603-6,218.237.65.47,188.241.56.4,1415422624,38605,22,"-A----,-AP---",45c48,c4ca4,12,1008,183.61.185.94,TCP,0
10.42.0.151-69.147.64.34-57195-443-6,218.237.65.47,61.130.70.38,1415745615,22,65517,"-A----,-AP---",45c48,c4ca4,25,13108,183.61.185.94,TCP,1
10.42.0.211-10.42.0.1-8294-53-17,218.237.65.47,37.9.53.47,1415644705,38594,22,"-A----,-AP---",45c48,c4ca4,12,1008,183.61.185.94,TCP,0
10.42.0.211-10.42.0.1-58812-53-17,142.0.132.79,216.99.156.74,1415747614,22,48907,"-A----,-AP---",45c48,c4ca4,6,504,60.190.222.205,TCP,1
202.77.129.150-10.42.0.211-80-41762-6,117.40.188.58,125.64.34.107,1415347212,48907,22,"----S-,-A----,-AP---",45c48,c4ca4,12,1008,183.61.185.94,TCP,1
10.42.0.211-10.42.0.1-43079-53-17,219.146.8.78,125.64.34.107,1415140946,33012,22,"-A----,-AP---",45c48,c4ca4,12,1008,197.162.99.31,UDP,1
172.217.10.74-10.42.0.151-443-48439-6,50.26.102.172,125.64.34.107,1415753986,22,51535,"-A----,-AP---",45c48,c4ca4,6,504,197.162.99.31,TCP,0
203.205.151.47-10.42.0.151-80-53368-6,175.139.235.154,125.64.34.107,1415754134,22,51510,"-A----,-AP---",45c48,c4ca4,6,504,183.61.185.94,TCP,0
172.217.3.106-10.42.0.151-443-52047-6,37.9.53.44,125.64.34.107,1415328125,51508,22,"-A----,-AP---",45c48,c4ca4,12,1008,220.181.168.154,TCP,0
10.42.0.42-13.88.145.72-52890-443-6,197.7.88.238,46.47.65.166,1415754374,22,51504,"-A----,-AP---",45c48,c4ca4,6,504,211.162.79.51,TCP,1
10.42.0.211-66.231.239.124-43538-80-6,197.7.88.238,46.47.65.166,1415754422,32981,22,"-A----,-AP---",45c48,c4ca4,12,1008,61.131.218.218,TCP,1
10.42.0.211-23.61.184.253-35117-443-6,180.0.210.88,125.64.34.107,1415755361,22,33012,"-A----,-AP---",45c48,c4ca4,6,504,42.121.132.95,TCP,1
10.42.0.211-104.88.81.138-51087-443-6,180.0.210.88,190.176.189.137,1415414621,51837,22,"-A----,-AP---",45c48,c4ca4,12,1008,61.182.81.33,TCP,1
151.101.1.140-10.42.0.151-443-54110-6,60.173.26.57,190.176.189.137,1415149790,45072,22,"-A----,-AP---",45c48,c4ca4,12,1008,118.244.235.205,TCP,1
206.126.112.141-10.42.0.42-443-52954-6,173.234.33.194,69.175.54.106,1415755306,22,51508,"-A----,-AP---",45c48,c4ca4,6,504,122.225.101.46,TCP,0
172.217.10.10-10.42.0.151-443-59423-6,123.149.22.7,69.175.54.106,1415753850,22,32981,"-A----,-AP---",45c48,c4ca4,6,504,42.96.139.100,TCP,1
10.42.0.151-54.72.9.51-34760-443-6,84.46.250.2,69.175.54.106,1415667602,45074,22,"-A----,-AP---",45c48,c4ca4,12,1008,182.18.14.180,TCP,0
